id,question,answer,tags
1,授業登録の方法は？,大学ポータルサイトにログインし教務システムから履修登録を行います。科目一覧から授業を選び確定ボタンを押すと登録完了です。,履修 授業登録 ポータル
2,授業登録の締め切りはいつ？,毎学期の履修登録期間は教務システムと学内メールで案内されます。必ず案内に記載された締め切り日時を確認してその前に登録を完了してください。,履修 締め切り
3,授業の取り消しや変更はいつまでできますか？,履修修正期間中であれば教務システムから授業の追加と削除ができます。期間を過ぎると原則として変更できません。,履修 取り消し 変更
4,成績はどこで確認できますか？,学期末に教務システムの成績照会ページから確認できます。反映には時間がかかることがあるので、数日〜数週間は待ってから確認してください。,成績 ポータル
5,GPAはどうやって計算されていますか？,各科目の評価を数値化したものを単位数で加重平均してGPAを計算します。具体的な計算方法は学則または教務ガイドに記載されているのでそちらを確認してください。,成績 GPA
6,出席はどれくらい必要ですか？,多くの授業では出席が一定割合を下回ると単位取得ができません。授業ごとにシラバスに条件が書かれているので必ず確認してください。,出席 シラバス
7,シラバスはどこで見られますか？,大学ポータルサイトのシラバス検索ページから授業名や教員名で検索できます。授業内容や評価方法は必ず事前にチェックしておきましょう。,シラバス 授業情報
8,休学したい場合はどうすればいいですか？,まず指導教員または学務担当の先生に相談し休学の条件と手続きを確認します。その後所定の休学願を提出し承認されると休学が認められます。,休学 手続き
9,奨学金の情報はどこで確認できますか？,大学の奨学金担当窓口とポータルサイトの奨学金案内ページで確認できます。応募時期と条件がそれぞれ異なるのでこまめにチェックしてください。,奨学金 経済支援
10,学生証をなくした場合は？,学生証を紛失した場合は速やかに教務・学生サービス窓口で再発行の手続きをしてください。再発行には手数料がかかる場合があります。,学生証 紛失
11,キャンパスのWi-Fiに接続する方法は？,大学から付与された学籍番号とパスワードを使ってキャンパスWi-Fiにログインします。接続方法のマニュアルはポータルサイトのITサポートページに掲載されています。,Wi-Fi IT
12,学内メールはどこで確認できますか？,大学が提供している学生用メールアカウントにブラウザまたはメールアプリからログインします。重要なお知らせは学内メールに届くので定期的にチェックしてください。,メール 連絡
13,健康診断は受ける必要がありますか？,多くの大学では年度ごとに定期健康診断の受診が義務づけられています。日時と場所は学生向けのお知らせで案内されるので必ず確認してください。,健康診断 保健
14,病気やけがのときに相談できる場所は？,キャンパス内の保健センターや校医室で相談できます。緊急の場合は現地の救急番号に連絡し周囲の大人や友人にも助けを求めてください。,健康 相談
15,寮の門限やルールはどこで確認できますか？,寮の入寮時に配布される寮則と掲示板に基本的なルールが書かれています。不明な点は寮管理人やRAに確認してください。,寮 生活
16,学食の営業時間を知りたい,学食の営業時間や営業しているフロアは学生サービスの案内掲示とポータルサイトに掲載されています。試験期間や休暇中は時間が変わることがあるので注意してください。,学食 生活
17,授業がオンラインになったときはどこを見ればいいですか？,授業の実施形態の変更は教務システムの授業ページと学内メールで案内されます。オンライン授業のURLや使用ツールもそこで確認できます。,オンライン授業 連絡
18,単位が足りているかどうかはどこで確認できますか？,教務システムの修得単位照会ページで現在までの取得単位と卒業に必要な単位数を確認できます。心配な場合は学務担当に相談してください。,単位 卒業要件
19,中国の銀行口座や携帯SIMの作り方を知りたい,留学生向けオリエンテーションで銀行口座とSIMカードの開設方法が案内されます。時期を逃した場合は国際交流担当窓口で相談するとサポートを受けられます。,留学生活 銀行口座 SIM
20,ビザや居留許可の更新について知りたい,ビザと居留許可の手続きは非常に重要なので国際交流オフィスの指示に従ってください。期限が近づく前にパスポートと必要書類を持って早めに相談しましょう。,ビザ 居留許可 留学生
